Trial_ID,Model_Type,Hidden_Dim,Int_Emb_Size,Out_Emb_Size,Num_Before_Skip,Num_After_Skip,Basis_Emb_Size,Num_Radial,Num_Spherical,Num_Conv_Layers,Num_Headlayers,Dim_Headlayers,Learning_Rate,Batch_Size,Validation_Loss,Best_Validation_Loss
2,DimeNet,74.0,43.0,12.0,3.0,3.0,8.0,6.0,3.0,4.0,3.0,"[181, 111, 146]",0.0020029067664319175,169.0,12.062739,
3,DimeNet,90.0,60.0,29.0,1.0,3.0,20.0,4.0,6.0,2.0,1.0,[67],0.0018590387240157802,88.0,11.243036,
1,DimeNet,83.0,34.0,14.0,3.0,2.0,13.0,10.0,4.0,5.0,3.0,"[146, 60, 27]",0.006342113676641396,53.0,70.60265,
4,DimeNet,33.0,29.0,24.0,3.0,1.0,15.0,12.0,2.0,3.0,2.0,"[134, 143]",0.0018944690924702007,164.0,4.0812216,
6,DimeNet,67.0,37.0,29.0,2.0,3.0,17.0,8.0,4.0,5.0,1.0,[57],0.006616571381164885,256.0,3.9413023,
5,DimeNet,71.0,29.0,22.0,3.0,1.0,5.0,4.0,4.0,2.0,3.0,"[183, 174, 146]",0.0010441742349209286,117.0,4.3070073,
0,DimeNet,73.0,21.0,17.0,1.0,2.0,11.0,12.0,4.0,1.0,3.0,"[122, 175, 28]",0.0027094609340097054,13.0,4.2179327,
8,DimeNet,41.0,46.0,14.0,3.0,3.0,14.0,12.0,2.0,2.0,3.0,"[194, 23, 193]",0.005869960514419985,58.0,3.6816623,
10,DimeNet,85.0,49.0,30.0,1.0,1.0,16.0,12.0,4.0,3.0,3.0,"[187, 197, 99]",0.00013459648516028476,233.0,5.989928,
9,DimeNet,83.0,56.0,12.0,1.0,3.0,18.0,4.0,5.0,5.0,1.0,[195],0.004549872606799812,42.0,340.05942,
7,DimeNet,73.0,22.0,15.0,2.0,3.0,6.0,12.0,3.0,1.0,2.0,"[146, 87]",0.008812920903962856,27.0,4.4851623,
14,DimeNet,47.0,42.0,25.0,2.0,2.0,12.0,9.0,2.0,4.0,1.0,[20],0.006878093502974607,256.0,67.0477,
13,DimeNet,44.0,48.0,18.0,2.0,2.0,11.0,9.0,8.0,1.0,2.0,"[20, 20]",0.009422711545140957,86.0,7.3118753,
12,DimeNet,55.0,45.0,18.0,3.0,2.0,17.0,7.0,5.0,2.0,2.0,"[124, 194]",0.004007194947175977,14.0,3.5155761,
16,DimeNet,20.0,36.0,10.0,2.0,3.0,16.0,7.0,6.0,2.0,1.0,[81],0.004833359822194745,203.0,4.9354625,
11,DimeNet,77.0,58.0,11.0,3.0,3.0,19.0,11.0,2.0,1.0,1.0,[176],0.0022440788685941073,8.0,3.6555781,
15,DimeNet,53.0,49.0,19.0,2.0,3.0,16.0,7.0,8.0,2.0,2.0,"[77, 38]",0.004797637099979185,197.0,4.0543995,
17,DimeNet,20.0,49.0,10.0,3.0,2.0,14.0,6.0,7.0,2.0,2.0,"[89, 27]",0.004188032920788535,73.0,4.302556,
18,DimeNet,55.0,50.0,20.0,3.0,2.0,20.0,6.0,8.0,2.0,2.0,"[102, 26]",0.003733750720963682,71.0,3.9613307,
21,DimeNet,59.0,56.0,22.0,3.0,2.0,20.0,10.0,6.0,1.0,1.0,[158],0.0034710609825630004,12.0,3.557747,
23,DimeNet,62.0,54.0,22.0,3.0,2.0,18.0,10.0,6.0,3.0,2.0,"[157, 130]",0.0035457677141049076,108.0,3.7043562,
19,DimeNet,56.0,55.0,21.0,3.0,2.0,20.0,6.0,8.0,1.0,2.0,"[158, 126]",0.0035262206681331686,8.0,3.730303,
24,DimeNet,96.0,60.0,26.0,3.0,2.0,19.0,10.0,5.0,1.0,1.0,[164],0.003148047784276051,12.0,4.422741,
25,DimeNet,99.0,60.0,26.0,3.0,2.0,18.0,10.0,5.0,1.0,1.0,[169],0.0028123533518532888,26.0,3.6868317,
26,DimeNet,61.0,53.0,17.0,3.0,1.0,18.0,11.0,7.0,1.0,1.0,[116],0.002517822908541549,32.0,4.4615703,
28,DimeNet,35.0,57.0,23.0,3.0,1.0,19.0,8.0,7.0,1.0,1.0,[134],0.0005579197375778734,50.0,4.3420486,
29,DimeNet,64.0,52.0,15.0,2.0,2.0,17.0,11.0,3.0,2.0,1.0,[172],0.0010691901359562816,147.0,4.243152,
27,DimeNet,62.0,53.0,17.0,3.0,1.0,19.0,11.0,7.0,1.0,1.0,[121],0.005657092434031495,39.0,3.7858598,
22,DimeNet,99.0,56.0,16.0,3.0,2.0,18.0,10.0,6.0,1.0,1.0,[167],0.0033941218502511554,10.0,3.4303095,
31,DimeNet,52.0,45.0,20.0,2.0,2.0,20.0,9.0,6.0,3.0,2.0,"[104, 85]",0.007525080852121082,98.0,4.04455,
30,DimeNet,52.0,44.0,12.0,3.0,2.0,19.0,9.0,6.0,3.0,1.0,[104],0.005459521356937467,33.0,3.4521956,
33,DimeNet,48.0,41.0,16.0,3.0,2.0,10.0,3.0,6.0,1.0,2.0,"[132, 200]",0.004137577068977043,67.0,6.585985,
32,DimeNet,50.0,45.0,19.0,2.0,2.0,8.0,9.0,6.0,3.0,2.0,"[133, 158]",0.007587043042332948,29.0,3.3734508,
34,DimeNet,46.0,40.0,16.0,3.0,2.0,17.0,8.0,6.0,4.0,1.0,[135],0.005417492150400877,25.0,3.2707558,
37,DimeNet,39.0,33.0,13.0,2.0,2.0,9.0,8.0,5.0,4.0,1.0,[142],0.005637437639971978,51.0,3.9168627,
35,DimeNet,35.0,45.0,13.0,3.0,2.0,17.0,8.0,5.0,4.0,1.0,[148],0.005453397740879917,21.0,185.47668,
20,DimeNet,99.0,54.0,21.0,3.0,2.0,20.0,6.0,7.0,1.0,2.0,"[158, 138]",0.0034537574577446196,9.0,4.601887,
36,DimeNet,36.0,38.0,13.0,2.0,2.0,8.0,8.0,5.0,4.0,2.0,"[142, 162]",0.007664540603145468,30.0,3.4044054,
38,DimeNet,28.0,39.0,14.0,2.0,2.0,8.0,9.0,7.0,4.0,1.0,[95],0.00809358393439314,33.0,3.6371028,
39,DimeNet,28.0,36.0,16.0,2.0,2.0,8.0,9.0,7.0,3.0,1.0,[107],0.007869241153118874,40.0,3.5991771,
42,DimeNet,29.0,30.0,16.0,1.0,1.0,7.0,8.0,4.0,5.0,3.0,"[138, 160, 79]",0.007175433704740854,130.0,4.0557027,
43,DimeNet,30.0,32.0,15.0,1.0,1.0,7.0,8.0,4.0,5.0,3.0,"[144, 157, 81]",0.008485137808490847,123.0,4.8664474,
41,DimeNet,27.0,32.0,15.0,2.0,1.0,7.0,9.0,5.0,5.0,3.0,"[130, 157, 80]",0.007684490584787824,61.0,3.8344457,
